Gender,Type_of_Company,WFH_Setup_Availability,Designation,Burn_Out_Status
Male,Service,Yes,1,moderate
Male,Service,Yes,4,severe
Female,Service,Yes,3,moderate
Female,Product,Yes,2,moderate
Female,Service,No,3,severe
Female,Service,Yes,2,moderate
Female,Product,Yes,3,moderate
Female,Product,Yes,0,mild
Female,Product,No,2,mild
Male,Service,Yes,2,mild
Female,Product,No,2,moderate
Female,Service,No,0,mild
Female,Product,Yes,3,moderate
Female,Service,No,1,mild
Female,Product,Yes,2,mild
Male,Service,No,2,moderate
Female,Service,Yes,5,severe
Male,Service,Yes,1,moderate
Female,Service,No,3,severe
Female,Service,Yes,2,moderate
Female,Product,Yes,4,moderate
Female,Product,Yes,2,moderate
Male,Service,Yes,0,mild
Male,Service,Yes,3,severe
Male,Service,Yes,1,moderate
Male,Service,No,4,severe
Female,Product,No,0,mild
Female,Service,No,4,moderate
Male,Service,No,2,moderate
Male,Product,No,4,severe
Female,Service,Yes,1,moderate
Male,Service,No,3,moderate
Male,Product,Yes,1,moderate
Female,Product,Yes,1,moderate
Male,Product,Yes,2,severe
Male,Service,Yes,4,severe
Female,Product,Yes,1,moderate
Female,Service,Yes,2,moderate
Male,Service,Yes,3,moderate
Male,Product,No,2,severe
Female,Service,No,1,mild
Female,Service,Yes,2,moderate
Female,Service,No,4,severe
Female,Product,No,4,moderate
Male,Service,No,5,severe
Male,Service,No,3,moderate
Male,Service,No,2,moderate
Female,Service,No,1,moderate
Male,Service,Yes,2,moderate
Female,Product,Yes,0,mild
Female,Service,Yes,1,moderate
Female,Service,No,4,moderate
Female,Service,No,3,severe
Female,Service,Yes,0,mild
Male,Product,Yes,4,moderate
Female,Product,No,3,severe
Male,Service,No,4,severe
Female,Service,No,1,moderate
Male,Product,No,2,severe
Male,Product,Yes,1,mild
Female,Service,No,3,moderate
Female,Product,Yes,3,moderate
Male,Service,No,3,severe
Female,Product,Yes,3,moderate
Female,Product,Yes,1,mild
Female,Service,Yes,2,mild
Male,Product,No,0,mild
Female,Product,Yes,1,moderate
Female,Product,No,2,severe
Male,Service,No,3,severe
Female,Service,No,2,severe
Male,Service,No,3,severe
Female,Product,Yes,3,moderate
Female,Service,No,0,mild
Female,Product,Yes,3,moderate
Male,Service,No,1,mild
Male,Service,Yes,4,moderate
Female,Product,No,4,severe
Female,Product,No,4,severe
Female,Service,Yes,2,mild
Male,Service,No,1,moderate
Male,Product,No,3,severe
Male,Product,No,1,moderate
Male,Service,Yes,3,severe
Female,Service,Yes,3,moderate
Male,Product,No,1,moderate
Male,Product,No,5,severe
Female,Product,No,2,moderate
Male,Service,No,3,severe
Female,Product,No,1,moderate
Female,Product,No,2,moderate
Male,Service,Yes,2,moderate
Male,Service,No,3,moderate
Female,Service,Yes,0,mild
Male,Product,No,3,severe
Female,Product,Yes,2,moderate
Female,Service,No,2,moderate
Male,Product,No,1,moderate
Male,Product,Yes,3,moderate
Male,Service,No,1,moderate
Female,Service,No,4,severe
Male,Product,No,2,moderate
Female,Product,No,3,severe
Male,Product,Yes,2,moderate
Female,Service,No,0,mild
Female,Service,No,4,severe
Male,Service,Yes,2,moderate
Female,Product,No,3,moderate
Female,Service,No,4,severe
Male,Service,Yes,3,moderate
Female,Service,No,3,moderate
Male,Product,No,4,severe
Female,Product,Yes,0,mild
Female,Service,Yes,0,mild
Female,Service,Yes,1,mild
Female,Product,Yes,1,moderate
Male,Product,Yes,3,severe
Female,Product,Yes,3,moderate
Male,Service,Yes,3,severe
Male,Service,No,4,moderate
Female,Product,No,2,mild
Male,Product,No,2,moderate
Male,Product,Yes,2,moderate
Female,Service,No,2,severe
Male,Service,No,2,severe
Male,Product,No,3,severe
Female,Service,No,2,severe
Male,Product,Yes,2,mild
Female,Product,No,2,moderate
Male,Product,No,3,severe
Female,Product,No,2,moderate
Male,Product,Yes,3,moderate
Female,Service,Yes,1,moderate
Male,Service,Yes,2,severe
Female,Service,Yes,2,moderate
Male,Service,Yes,2,moderate
Male,Service,Yes,1,mild
Male,Service,Yes,1,mild
Female,Service,Yes,3,moderate
Female,Service,Yes,2,mild
Male,Product,Yes,5,severe
Male,Product,Yes,2,severe
Male,Service,No,4,moderate
Male,Product,No,4,severe
Male,Service,No,1,moderate
Male,Product,Yes,3,severe
Female,Product,Yes,2,moderate
Male,Product,No,4,severe
Female,Service,Yes,4,moderate
Male,Product,No,3,moderate
Male,Service,No,3,moderate
Female,Service,No,2,moderate
Female,Service,Yes,2,moderate
Female,Service,Yes,0,mild
Female,Product,Yes,3,moderate
Female,Service,Yes,2,mild
Female,Product,Yes,1,moderate
Female,Service,Yes,2,mild
Male,Service,Yes,2,moderate
Male,Service,Yes,3,moderate
Male,Service,No,3,moderate
Male,Product,Yes,2,moderate
Male,Service,No,1,mild
Female,Product,No,3,severe
Male,Service,No,2,moderate
Male,Service,Yes,1,moderate
Female,Product,Yes,0,mild
Male,Service,No,2,severe
Male,Service,Yes,3,severe
Male,Service,Yes,1,moderate
Female,Product,No,4,moderate
Female,Product,Yes,3,moderate
Male,Service,No,2,moderate
Male,Product,Yes,3,moderate
Male,Service,Yes,2,moderate
Male,Product,Yes,0,mild
Female,Product,No,2,moderate
Female,Service,Yes,2,moderate
Female,Product,Yes,3,moderate
Female,Service,No,3,moderate
Female,Product,No,4,severe
Male,Service,No,2,moderate
Female,Service,No,0,mild
Male,Service,Yes,2,moderate
Female,Service,Yes,2,mild
Male,Service,Yes,4,severe
Male,Service,Yes,2,moderate
Male,Product,No,1,mild
Female,Service,No,4,moderate
Female,Service,Yes,3,moderate
Male,Service,No,1,moderate
Female,Product,Yes,2,moderate
Male,Service,No,4,severe
Male,Service,Yes,1,mild
Male,Product,Yes,3,moderate
Male,Product,No,1,moderate
Female,Product,No,1,mild
Female,Product,Yes,1,moderate
Female,Product,Yes,3,moderate
Female,Product,No,2,moderate
Female,Service,Yes,2,mild
Female,Service,No,0,mild
Female,Service,Yes,2,moderate
Female,Service,Yes,1,mild
Female,Product,No,4,moderate
Female,Service,No,0,mild
Female,Product,No,1,moderate
Male,Service,Yes,3,moderate
Male,Service,No,3,severe
Male,Service,No,4,severe
Male,Service,Yes,3,moderate
Female,Service,No,4,moderate
Male,Product,Yes,2,severe
Female,Service,Yes,1,moderate
Female,Service,Yes,1,mild
Male,Product,Yes,3,severe
Female,Service,Yes,2,mild
Female,Product,Yes,2,mild
Male,Product,Yes,0,mild
Female,Service,No,2,moderate
Female,Service,Yes,2,moderate
Female,Service,No,5,severe
Male,Service,No,2,moderate
Female,Product,Yes,2,mild
Female,Service,No,3,moderate
Female,Service,Yes,2,moderate
Female,Service,Yes,2,moderate
Male,Service,Yes,0,mild
Female,Service,Yes,2,severe
Female,Service,No,2,moderate
Female,Service,Yes,3,moderate
Female,Product,No,4,severe
Female,Service,No,3,severe
Female,Product,Yes,0,mild
Female,Service,Yes,1,moderate
Male,Service,No,3,severe
Male,Service,Yes,1,moderate
Male,Service,No,2,moderate
Female,Service,No,4,severe
Female,Service,Yes,1,mild
Male,Product,Yes,4,moderate
Male,Service,Yes,3,moderate
Female,Service,No,2,moderate
Female,Product,No,3,severe
Female,Service,Yes,1,mild
Female,Service,No,2,moderate
Female,Service,Yes,3,severe
Female,Service,No,2,moderate
Male,Service,Yes,1,moderate
Female,Service,Yes,2,moderate
Male,Product,No,3,moderate
Male,Product,Yes,1,moderate
Male,Service,No,2,moderate
Female,Service,Yes,3,severe
Female,Product,Yes,4,severe
Female,Service,No,3,severe
Female,Product,No,2,severe
Female,Product,Yes,3,moderate
Female,Service,No,2,moderate
Female,Product,Yes,3,severe
Female,Service,No,2,moderate
Female,Service,Yes,2,moderate
Male,Service,No,3,moderate
Female,Product,Yes,2,moderate
Female,Service,No,1,moderate
Male,Product,Yes,2,moderate
Female,Product,Yes,4,severe
Male,Service,No,3,moderate
Male,Product,Yes,0,mild
Female,Service,No,1,mild
Female,Product,Yes,4,severe
Female,Product,Yes,2,moderate
Female,Product,Yes,3,moderate
Male,Product,No,3,moderate
Male,Service,No,4,moderate
Female,Service,Yes,2,mild
Male,Service,No,1,mild
Male,Product,Yes,2,moderate
Male,Service,Yes,2,moderate
Female,Product,Yes,0,moderate
Male,Product,No,3,moderate
Male,Service,Yes,1,mild
Female,Product,Yes,0,mild
Female,Product,Yes,1,moderate
Male,Service,No,2,severe
Female,Service,Yes,2,moderate
Female,Service,Yes,3,moderate
Male,Product,Yes,2,moderate
Male,Product,No,3,severe
Female,Product,Yes,2,mild
Male,Service,Yes,3,moderate
Female,Service,Yes,4,severe
Female,Product,Yes,2,moderate
Male,Product,No,4,moderate
Female,Service,No,2,moderate
Female,Product,No,2,moderate
Female,Service,No,3,moderate
Male,Service,Yes,2,mild
Female,Service,Yes,2,moderate
Female,Service,Yes,3,moderate
Male,Service,Yes,2,mild
Female,Service,Yes,1,mild
Female,Product,No,5,severe
Male,Service,Yes,2,moderate
Male,Service,Yes,1,mild
Female,Product,No,3,moderate
Male,Service,Yes,1,mild
Male,Service,Yes,2,mild
Male,Service,Yes,2,mild
Female,Product,No,4,severe
Female,Service,Yes,1,moderate
Female,Service,No,1,mild
Male,Service,Yes,1,moderate
Female,Service,Yes,3,moderate
Female,Service,Yes,1,moderate
Female,Service,Yes,3,moderate
Male,Service,No,2,moderate
Male,Service,Yes,3,moderate
Male,Service,No,2,moderate
Male,Service,Yes,1,moderate
Male,Product,Yes,2,severe
Female,Service,No,4,moderate
Male,Product,Yes,1,moderate
Female,Service,Yes,0,mild
Female,Service,Yes,1,moderate
Male,Service,Yes,2,mild
Female,Service,No,2,moderate
Male,Service,No,3,moderate
Female,Service,No,4,severe
Male,Service,Yes,2,moderate
Female,Service,Yes,3,moderate
Female,Product,No,4,severe
Female,Product,No,2,severe
Female,Service,Yes,2,mild
Female,Product,Yes,2,moderate
Female,Product,No,1,mild
Female,Service,No,1,mild
Female,Service,Yes,3,moderate
Male,Product,Yes,1,moderate
Male,Service,Yes,2,moderate
Male,Service,No,4,severe
Male,Service,No,4,severe
Male,Service,Yes,3,severe
Male,Service,Yes,2,mild
Male,Service,No,4,severe
Female,Service,Yes,1,mild
Male,Service,Yes,4,moderate
Female,Product,Yes,3,moderate
Female,Service,No,2,moderate
Female,Service,Yes,2,moderate
Female,Service,Yes,1,moderate
Male,Product,Yes,2,moderate
Female,Product,Yes,0,mild
Male,Product,No,2,moderate
Male,Product,Yes,2,moderate
Female,Service,Yes,2,mild
Male,Product,No,4,severe
Female,Service,No,2,moderate
Male,Service,No,4,severe
Female,Service,Yes,2,moderate
Female,Service,Yes,2,moderate
Female,Service,No,3,moderate
Male,Service,No,4,moderate
Female,Service,No,2,moderate
Female,Service,No,4,severe
Female,Product,Yes,1,moderate
Male,Service,Yes,0,mild
Female,Service,No,4,moderate
Female,Service,No,3,moderate
Female,Service,No,2,moderate
Female,Service,Yes,3,moderate
Male,Service,Yes,1,moderate
Male,Service,No,4,severe
Female,Service,No,0,mild
Male,Product,No,2,moderate
Male,Product,Yes,2,moderate
Male,Service,No,5,severe
Male,Service,Yes,3,moderate
Female,Product,No,3,severe
Female,Service,Yes,2,moderate
Female,Service,Yes,3,moderate
Female,Product,Yes,1,moderate
Female,Product,No,2,moderate
Male,Product,Yes,4,severe
Male,Product,Yes,2,severe
Female,Service,Yes,3,moderate
Male,Product,No,4,severe
Female,Service,Yes,3,moderate
Male,Product,Yes,0,mild
Male,Service,Yes,4,severe
Male,Service,Yes,1,moderate
Female,Product,No,4,severe
Female,Service,No,2,severe
Female,Product,No,3,severe
Female,Service,No,5,severe
Female,Service,Yes,1,mild
Male,Service,Yes,1,moderate
Male,Service,No,4,severe
Male,Service,No,3,moderate
Female,Service,No,2,moderate
Female,Product,No,4,severe
Female,Product,Yes,2,severe
Male,Service,Yes,1,moderate
Male,Service,No,3,moderate
Male,Product,No,3,moderate
Male,Product,Yes,4,severe
Female,Product,No,3,moderate
Male,Product,Yes,2,moderate
Female,Service,No,5,severe
Male,Service,No,1,mild
Female,Product,No,2,moderate
Female,Service,No,1,mild
Female,Product,No,2,moderate
Female,Service,Yes,2,moderate
Female,Service,No,4,severe
Male,Service,Yes,3,moderate
Male,Service,No,2,moderate
Female,Service,Yes,2,moderate
Male,Service,Yes,0,mild
Male,Product,No,2,moderate
Female,Service,No,3,moderate
Male,Product,Yes,4,severe
Male,Product,No,3,severe
Male,Service,No,0,mild
Male,Service,No,5,severe
Female,Service,No,3,severe
Male,Service,No,2,severe
Male,Service,No,3,moderate
Male,Product,No,3,moderate
Female,Service,Yes,3,mild
Female,Service,Yes,2,mild
Male,Service,Yes,1,mild
Female,Product,No,1,moderate
Female,Service,No,4,severe
Female,Service,No,2,moderate
Female,Service,Yes,1,mild
Male,Service,Yes,4,moderate
Female,Service,Yes,2,moderate
Female,Service,No,3,moderate
Male,Service,Yes,2,moderate
Female,Service,No,2,moderate
Female,Service,No,2,moderate
Male,Service,No,2,moderate
Male,Service,No,4,severe
Female,Service,Yes,1,mild
Female,Service,Yes,2,mild
Female,Service,Yes,2,moderate
Female,Service,No,3,moderate
Female,Service,Yes,2,mild
Female,Service,No,4,moderate
Male,Service,Yes,2,severe
Female,Product,Yes,3,moderate
Female,Service,Yes,1,mild
Female,Service,No,2,mild
Female,Service,Yes,2,moderate
Male,Product,No,3,severe
Female,Service,No,4,moderate
Female,Product,Yes,2,moderate
Female,Service,Yes,1,moderate
Female,Service,Yes,1,moderate
Female,Service,Yes,1,mild
Male,Service,No,3,severe
Male,Product,No,4,severe
Male,Service,No,3,severe
Male,Product,Yes,2,mild
Female,Service,Yes,2,moderate
Female,Product,Yes,0,mild
Male,Service,Yes,3,moderate
Male,Service,Yes,1,moderate
Female,Product,Yes,3,moderate
Female,Service,No,1,moderate
Female,Product,No,3,severe
Female,Product,No,5,severe
Female,Service,No,5,severe
Male,Service,No,4,severe
Female,Service,No,3,moderate
Female,Product,Yes,2,moderate
Female,Service,No,4,severe
Female,Service,No,2,moderate
Female,Service,Yes,0,mild
Male,Service,Yes,1,mild
Female,Product,Yes,1,mild
Female,Service,No,0,mild
Female,Service,Yes,1,mild
Male,Service,Yes,2,moderate
Female,Product,Yes,1,mild
Male,Product,Yes,1,mild
Male,Product,Yes,2,moderate
Male,Product,No,3,severe
Female,Service,Yes,0,mild
Female,Service,Yes,3,severe
Female,Product,No,2,severe
Male,Service,Yes,1,moderate
Male,Product,Yes,4,severe
Female,Service,No,4,severe
Male,Service,No,3,severe
Female,Product,No,2,severe
Male,Service,Yes,4,severe
Female,Product,Yes,3,severe
Male,Product,Yes,2,moderate
Female,Service,Yes,2,moderate
Male,Service,Yes,3,severe
Female,Service,Yes,2,moderate
Female,Product,No,3,severe
Female,Service,Yes,4,severe
Female,Service,No,2,severe
Male,Service,Yes,1,moderate
Female,Service,No,2,moderate
Female,Service,Yes,3,moderate
Male,Service,Yes,1,moderate
Male,Product,Yes,2,moderate
Male,Service,No,4,severe
Male,Product,Yes,2,mild
Male,Service,Yes,3,moderate
Male,Product,No,3,moderate
Female,Product,No,4,severe
Female,Service,No,2,moderate
Male,Service,Yes,0,moderate
Male,Service,Yes,1,mild
Female,Service,Yes,4,severe
Male,Service,Yes,4,severe
Female,Service,Yes,3,moderate
Male,Service,Yes,2,moderate
Male,Service,Yes,3,severe
Male,Service,Yes,3,moderate
Male,Product,No,1,moderate
Male,Service,Yes,0,mild
Female,Product,Yes,1,moderate
Male,Product,Yes,1,mild
Male,Product,Yes,2,moderate
Female,Service,Yes,2,moderate
Male,Product,Yes,3,moderate
Female,Product,Yes,2,moderate
Female,Service,No,2,moderate
Male,Product,Yes,1,moderate
Female,Product,No,3,severe
Female,Product,No,3,severe
Male,Service,No,3,moderate
Female,Service,No,4,severe
Female,Service,Yes,2,moderate
Male,Service,Yes,4,severe
Female,Service,No,2,moderate
Female,Service,Yes,1,mild
Male,Service,Yes,1,mild
Male,Service,No,1,moderate
Female,Service,Yes,2,mild
Male,Product,No,2,severe
Male,Product,No,1,mild
Male,Product,Yes,3,moderate
Male,Service,No,3,severe
Female,Service,Yes,2,moderate
Female,Product,Yes,1,moderate
Male,Product,Yes,3,moderate
Female,Product,Yes,3,moderate
Female,Service,Yes,3,moderate
Male,Product,Yes,1,mild
Male,Product,No,3,severe
Female,Service,Yes,2,moderate
Female,Service,Yes,4,severe
Male,Service,Yes,0,mild
Male,Product,Yes,3,severe
Male,Service,Yes,1,moderate
Male,Service,No,2,moderate
Female,Service,Yes,4,severe
Male,Service,No,5,severe
Male,Product,No,5,severe
Male,Service,No,1,moderate
Male,Service,Yes,1,moderate
Female,Product,No,2,moderate
Female,Product,Yes,1,mild
Female,Service,Yes,3,moderate
Male,Service,No,4,moderate
Female,Service,No,2,severe
Female,Service,Yes,0,mild
Female,Service,Yes,1,mild
Female,Service,No,2,moderate
Male,Service,Yes,2,mild
Female,Service,Yes,2,moderate
Male,Service,Yes,4,severe
Male,Service,Yes,2,moderate
Female,Service,Yes,2,moderate
Female,Service,Yes,3,mild
Male,Service,No,1,moderate
Male,Service,Yes,2,moderate
Female,Service,Yes,0,mild
Female,Service,Yes,1,moderate
Male,Service,No,3,moderate
Male,Service,No,2,mild
Female,Product,Yes,3,moderate
Male,Product,No,3,moderate
Male,Service,No,3,moderate
Male,Product,No,0,mild
Female,Product,Yes,1,mild
Female,Service,No,3,moderate
Female,Service,Yes,1,mild
Female,Product,Yes,2,mild
Male,Service,Yes,3,severe
Male,Service,Yes,3,moderate
Male,Service,Yes,2,severe
Female,Service,No,1,moderate
Female,Product,No,4,severe
Female,Service,Yes,2,mild
Female,Product,Yes,2,mild
Female,Product,Yes,1,mild
Female,Product,Yes,1,moderate
Female,Product,Yes,1,mild
Female,Product,Yes,1,mild
Male,Service,Yes,4,severe
Female,Product,No,1,moderate
Male,Product,Yes,4,severe
Male,Product,Yes,3,severe
Female,Service,Yes,2,mild
Female,Service,Yes,2,moderate
Male,Product,Yes,2,severe
Male,Product,No,1,moderate
Female,Service,Yes,3,moderate
Male,Service,Yes,4,severe
Male,Product,Yes,1,moderate
Female,Service,No,1,mild
Male,Service,No,0,mild
Female,Service,Yes,1,mild
Female,Service,No,1,mild
Female,Service,No,0,mild
Female,Product,No,5,severe
Male,Service,Yes,2,moderate
Male,Service,No,3,severe
Male,Service,No,3,moderate
Male,Product,Yes,1,mild
Female,Service,No,3,severe
Male,Service,Yes,3,severe
Female,Service,Yes,3,moderate
Female,Service,Yes,3,moderate
Male,Service,No,4,severe
Female,Service,Yes,3,moderate
Female,Service,Yes,0,mild
Female,Service,Yes,2,moderate
